,Postcode,Borough,Postcode Latitude,Postcode Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
68,01-337,Bemowo,52.2183,20.907,Hotel Marko,52.21799012493862,20.90894043445587,Hotel
69,01-336,Bemowo,52.2177,20.9077,Wald SPA & Wellness,52.21847642500959,20.907756260191643,Hotel
70,01-336,Bemowo,52.2177,20.9077,Hotel Marko,52.21799012493862,20.90894043445587,Hotel
71,01-336,Bemowo,52.2177,20.9077,Lotmar,52.21725721632741,20.908527374267578,Paper / Office Supplies Store
72,01-381,Bemowo,52.2295,20.9163,Hala Wola,52.228716079338064,20.914971605133946,Shopping Mall
73,01-381,Bemowo,52.2295,20.9163,Tramwaj 11,52.229027850792995,20.914874256548266,Tram Station
74,01-381,Bemowo,52.2295,20.9163,Stokrotka,52.22969852424976,20.914989836096485,Grocery Store
75,01-386,Bemowo,52.2272,20.9073,Raginisa,52.2283633080368,20.907975110940278,Bus Station
76,01-340,Bemowo,52.2176,20.9095,Piwodawca,52.21878700606971,20.909982981086035,Beer Bar
77,01-340,Bemowo,52.2176,20.9095,Hotel Marko,52.21799012493862,20.90894043445587,Hotel
78,01-340,Bemowo,52.2176,20.9095,Lotmar,52.21725721632741,20.908527374267578,Paper / Office Supplies Store
79,01-310,Bemowo,52.2243,20.9004,magic dust,52.22408,20.899551,Cosmetics Shop
80,01-310,Bemowo,52.2243,20.9004,Inferno,52.22425290268423,20.90002068788515,Pizza Place
81,01-312,Bemowo,52.2261,20.9034,Plac Zabaw Siemiatycka,52.22552839284541,20.902974785581335,Playground
82,01-348,Bemowo,52.2207,20.9112,Stawy,52.22001420401485,20.912833891459876,Park
83,01-348,Bemowo,52.2207,20.9112,Glinianki Sznajdra,52.21936617474299,20.910910326787295,Lake
84,01-320,Bemowo,52.2261,20.8874,P.H.U.P TRAMAR Maroszek Artur,52.22742,20.88719,Construction & Landscaping
85,01-389,Bemowo,52.2277,20.9109,Biedronka,52.22841147131542,20.91079370189394,Supermarket
86,01-389,Bemowo,52.2277,20.9109,Fitness Club S4,52.22719239116784,20.910634614839303,Gym / Fitness Center
87,01-486,Bemowo,52.2645,20.8998,Boernerowo 01,52.26395513294461,20.90024471282959,Light Rail Station
88,01-418,Bemowo,52.2473,20.9412,Bazarek Na Kole,52.24608929900182,20.940991075101014,Flea Market
89,01-418,Bemowo,52.2473,20.9412,Dalibora,52.246736635339566,20.942963138993793,Antique Shop
90,01-418,Bemowo,52.2473,20.9412,Plac zabaw w parku na Kole,52.248489800531864,20.941035071572788,Playground
91,01-418,Bemowo,52.2473,20.9412,Na Kole - Targ,52.24645170078395,20.94089817732265,Antique Shop
92,01-495,Bemowo,52.2573,20.9142,Garaże,52.25814193001217,20.91419796329374,Beer Garden
93,03-130,Białołęka,52.3227,20.9603,Plac Zabaw Ceramiczna,52.32269930110327,20.961633510675128,Playground
94,03-130,Białołęka,52.3227,20.9603,Doux,52.322026,20.961944,Dessert Shop
95,03-130,Białołęka,52.3227,20.9603,Żabka,52.323834870848415,20.960237681865692,Convenience Store
96,03-193,Białołęka,52.3064,20.9931,Boisko / Orlik,52.30579252008966,20.994597987817052,Soccer Field
97,03-149,Białołęka,52.3463,20.9438,Pizza San Giovanni,52.34707260131836,20.9438533782959,Pizza Place
98,03-153,Białołęka,52.3465,20.9551,Selgros Cash and Carry,52.34590163836035,20.95429766499628,Warehouse Store
99,03-153,Białołęka,52.3465,20.9551,Piekarnia Szwajcarska,52.34552335211874,20.95418165952356,Bakery
100,03-126,Białołęka,52.3181,20.9598,Lidl Tarchomin,52.31792072363002,20.960829567960655,Supermarket
101,03-126,Białołęka,52.3181,20.9598,"Kwiaciarnia ""Joanna""",52.318687190365544,20.957932487465,Flower Shop
102,03-126,Białołęka,52.3181,20.9598,Pola,52.318850695723434,20.95996058645333,Dog Run
103,03-126,Białołęka,52.3181,20.9598,Galeria Ram,52.31829531650139,20.958705366938474,Art Gallery
104,03-251,Białołęka,52.2994,21.0284,Biedronka,52.300198,21.030116,Grocery Store
105,03-251,Białołęka,52.2994,21.0284,Reserved,52.300021885503426,21.027112128930217,Clothing Store
106,03-279,Białołęka,52.3015,21.0399,Fiat Euromobil,52.30022348376929,21.039197782984886,Auto Garage
107,03-026,Białołęka,52.3367,20.989,Restauracja Oregano,52.336033054484176,20.989162006433656,Diner
108,03-090,Białołęka,52.359,20.9904,galeria BS,52.359303359382345,20.988745025285592,Art Gallery
109,03-075,Białołęka,52.3559,20.9769,Centrum Szkolenia Policji,52.35513770236331,20.978583952967693,Martial Arts Dojo
110,03-075,Białołęka,52.3559,20.9769,Restauracja Oregano,52.35590445882172,20.975047977897916,Italian Restaurant
111,03-075,Białołęka,52.3559,20.9769,Selgros Cash & Carry,52.35597889569614,20.97497271561114,Department Store
112,03-127,Białołęka,52.3195,20.9558,Spozywczy Dziadek Mysliborska,52.32001571577396,20.956907292037773,Food & Drink Shop
113,03-109,Białołęka,52.3299,20.9714,Park Henryków,52.33100246090742,20.971631760202477,Park
114,03-138,Białołęka,52.3318,20.9454,Biedronka,52.33192,20.946833,Grocery Store
115,03-138,Białołęka,52.3318,20.9454,Bialolecki Osrodek Sportu,52.33259837093402,20.946995875556212,Gym / Fitness Center
116,03-138,Białołęka,52.3318,20.9454,Przystanek Strumykowa,52.33187059881351,20.94744892602336,Cupcake Shop
117,03-182,Białołęka,52.3194,20.9756,Biedronka,52.318759687924114,20.974135258456776,Supermarket
118,03-219,Białołęka,52.295,21.0033,Leroy Merlin,52.29563844558214,21.001891256277265,Hardware Store
119,03-187,Białołęka,52.3197,20.9454,Pizzeria Da Grasso,52.32002999346217,20.943944239769184,Pizza Place
120,03-187,Białołęka,52.3197,20.9454,Pancera,52.32051292939893,20.944659750182417,Bus Station
121,03-160,Białołęka,52.3425,20.9779,Boisko,52.342618,20.979499,Soccer Field
122,03-133,Białołęka,52.323,20.9407,Tarchomin Kościelny,52.323668572138054,20.942565488268748,Tram Station
123,03-287,Białołęka,52.3248,21.0666,Centrum Handlowe Berensona,52.324507955761604,21.065522563555437,Shopping Mall
124,03-287,Białołęka,52.3248,21.0666,Przystanek Grodzisk 01,52.32347470958994,21.06698385420594,Bus Station
125,03-287,Białołęka,52.3248,21.0666,MarcPol,52.324758817129684,21.065819147031632,Deli / Bodega
126,03-141,Białołęka,52.3371,20.9385,Pepco,52.33654236748461,20.93755304083163,Clothing Store
127,03-141,Białołęka,52.3371,20.9385,Simply Market,52.336091173622954,20.937526485095642,Grocery Store
128,03-139,Białołęka,52.3323,20.9508,Galeria pod Dębami,52.33229688493329,20.949357082018437,Shopping Mall
129,03-139,Białołęka,52.3323,20.9508,fotel,52.33255386352539,20.951519012451172,Park
130,03-139,Białołęka,52.3323,20.9508,Rossmann,52.33225796810005,20.949377419797067,Drugstore
131,03-139,Białołęka,52.3323,20.9508,Stokrotka,52.332275390625,20.949047088623047,Market
132,03-079,Białołęka,52.3559,20.9812,Placyk Zabaw na Choszczówce.,52.35590016709379,20.97913106185215,Playground
133,03-192,Białołęka,52.3074,20.9873,Morelowa Tennis Club,52.306738153384856,20.988772630283496,Tennis Court
134,03-158,Białołęka,52.344,20.9731,Egurrola Dance Studio,52.34365436354768,20.974808703353897,Dance Studio
135,03-131,Białołęka,52.3292,20.9541,Centrum Zabaw dla Dzieci,52.32909,20.953822,Playground
136,03-131,Białołęka,52.3292,20.9541,Przystanek Lesnej Polanki 02,52.33007315926841,20.954938263004763,Bus Station
137,03-131,Białołęka,52.3292,20.9541,Plac zabaw Majolikowa 27,52.328786,20.955648,Playground
138,03-118,Białołęka,52.3364,20.9636,Biedronka,52.33570476260375,20.963211472389144,Supermarket
139,03-118,Białołęka,52.3364,20.9636,Maxi Zoo,52.33538872714593,20.9634418699425,Pet Store
140,03-118,Białołęka,52.3364,20.9636,Dermika,52.3373757,20.9625349,Spa
141,03-117,Białołęka,52.3363,20.9634,Biedronka,52.33570476260375,20.963211472389144,Supermarket
142,03-117,Białołęka,52.3363,20.9634,Henrykow,52.33522052877734,20.962177915391894,Bus Station
143,03-117,Białołęka,52.3363,20.9634,Maxi Zoo,52.33538872714593,20.9634418699425,Pet Store
144,03-117,Białołęka,52.3363,20.9634,Dermika,52.3373757,20.9625349,Spa
145,03-181,Białołęka,52.323,20.9815,Pałac Czartoryskich,52.3241619,20.9809427,Historic Site
146,03-125,Białołęka,52.3247,20.9604,Żabka,52.323834870848415,20.960237681865692,Convenience Store
147,00-716,Białołęka,52.2131,21.0639,Freshmarket,52.212182716207394,21.065432601470153,Grocery Store
148,03-274,Białołęka,52.3033,21.0419,Motorista - PeteStopBar,52.30311080974913,21.041991412639618,Bar
149,03-114,Białołęka,52.3313,20.975,Taxa z Ekipą,52.332125392924816,20.97542575357225,Bar
150,03-299,Białołęka,52.3227,21.0744,Zielony Sklep,52.322403,21.075827,Food & Drink Shop
151,03-089,Białołęka,52.3588,20.9898,galeria BS,52.359303359382345,20.988745025285592,Art Gallery
152,03-233,Białołęka,52.3073,21.0151,Squash Odlewnicza,52.30656749102261,21.015528245058835,Tennis Court
153,03-146,Białołęka,52.3438,20.9411,Dzusi Ket Rozmaryn,52.34319,20.941514,Italian Restaurant
154,03-216,Białołęka,52.2935,21.0005,Shopping,52.29283749581957,21.00112795829773,Business Service
155,03-216,Białołęka,52.2935,21.0005,Żerań FSO (Pętla tramwajowa - Żerań FSO),52.29361960479214,21.00009802778557,Tram Station
156,03-216,Białołęka,52.2935,21.0005,KasFisk,52.292935926227734,21.001068949699402,Business Service
157,03-216,Białołęka,52.2935,21.0005,KasFisk,52.29299498436762,21.001031398773193,Business Service
158,03-186,Białołęka,52.3155,20.9747,Klub Pictures,52.31458857082012,20.973221137325147,Pool Hall
159,03-170,Białołęka,52.3169,20.976,Motorismo Warszawa,52.31759603796285,20.97506017586449,Motorcycle Shop
160,03-119,Białołęka,52.329,20.9675,Auto-Gaz-Mechanika Andrzej Smogorzewski,52.328820804413574,20.96631000000002,Gas Station
161,03-119,Białołęka,52.329,20.9675,Viggen Auto,52.329113,20.967522,Auto Dealership
162,03-120,Białołęka,52.3288,20.9662,Auto-Gaz-Mechanika Andrzej Smogorzewski,52.328820804413574,20.96631000000002,Gas Station
163,03-120,Białołęka,52.3288,20.9662,Viggen Auto,52.329113,20.967522,Auto Dealership
164,03-152,Białołęka,52.3455,20.9522,Fort Piontek Hotel Warsaw,52.344986163403924,20.952294829509533,Hotel
165,03-152,Białołęka,52.3455,20.9522,Selgros Cash and Carry,52.34590163836035,20.95429766499628,Warehouse Store
166,03-152,Białołęka,52.3455,20.9522,Piekarnia Szwajcarska,52.34552335211874,20.95418165952356,Bakery
167,03-152,Białołęka,52.3455,20.9522,Fort Fitness (Fort Piontek),52.345080979505745,20.95243357978805,Gym / Fitness Center
168,03-198,Białołęka,52.3051,20.9947,Hulakula,52.304058145821486,20.993435880887745,Bowling Alley
169,03-198,Białołęka,52.3051,20.9947,Boisko / Orlik,52.30579252008966,20.994597987817052,Soccer Field
170,03-019,Białołęka,52.3306,21.0025,U Cherkusa,52.330097,21.00229,Flea Market
171,03-137,Białołęka,52.3315,20.9492,Galeria pod Dębami,52.33229688493329,20.949357082018437,Shopping Mall
172,03-137,Białołęka,52.3315,20.9492,Rossmann,52.33225796810005,20.949377419797067,Drugstore
173,03-137,Białołęka,52.3315,20.9492,Stokrotka,52.332275390625,20.949047088623047,Market
174,03-137,Białołęka,52.3315,20.9492,Przystanek Strumykowa,52.33187059881351,20.94744892602336,Cupcake Shop
175,03-140,Białołęka,52.333,20.9365,Telepizza,52.3331075332575,20.936476660099583,Pizza Place
176,03-140,Białołęka,52.333,20.9365,Kotwica,52.331973959095194,20.93605760256504,Outdoors & Recreation
177,03-231,Białołęka,52.3047,21.0138,ProfiLab Produkcja,52.303895434780316,21.01232628236046,Print Shop
178,03-018,Białołęka,52.3436,21.013,Huculski Raj,52.344013,21.012838,Stables
179,03-143,Białołęka,52.3327,20.9566,Sklep Spożywczy Dziadek,52.33173093037849,20.957635274543254,Food & Drink Shop
180,03-143,Białołęka,52.3327,20.9566,Egurrola Dance Studio Tarchomin,52.33185918461537,20.956403066545903,Dance Studio
181,03-074,Białołęka,52.3553,20.9749,Sporteum,52.3544577358034,20.973631217199024,Tennis Court
182,03-074,Białołęka,52.3553,20.9749,Restauracja Oregano,52.35590445882172,20.975047977897916,Italian Restaurant
183,03-074,Białołęka,52.3553,20.9749,Selgros Cash & Carry,52.35597889569614,20.97497271561114,Department Store
184,03-111,Białołęka,52.3285,20.9759,Auto Serwis,52.32808,20.976918,Auto Garage
185,03-083,Białołęka,52.3559,20.9843,Bosko Włosko,52.356299347708614,20.984745025634762,Italian Restaurant
186,03-021,Białołęka,52.3383,20.9959,Pizzeria Dworska,52.338667,20.993957,Pizza Place
187,03-168,Białołęka,52.3236,20.9756,Wybieg dla Psów,52.322618500000004,20.974187850951537,Dog Run
188,03-077,Białołęka,52.3549,20.9803,Placyk Zabaw na Choszczówce.,52.35590016709379,20.97913106185215,Playground
189,03-077,Białołęka,52.3549,20.9803,Centrum Szkolenia Policji,52.35513770236331,20.978583952967693,Martial Arts Dojo
190,03-128,Białołęka,52.3181,20.9467,Le Journal Café,52.31832516547962,20.946103131201593,Café
191,03-226,Białołęka,52.298,21.0312,Basen Polonez,52.29897739920458,21.03266004007326,Water Park
192,03-226,Białołęka,52.298,21.0312,Pizza Hut,52.298795743497934,21.031983432976176,Pizza Place
193,03-076,Białołęka,52.3569,20.9785,Placyk Zabaw na Choszczówce.,52.35590016709379,20.97913106185215,Playground
194,03-068,Białołęka,52.3538,20.9735,Sporteum,52.3544577358034,20.973631217199024,Tennis Court
195,01-783,Bielany,52.2787,20.9753,Apteka,52.279013080998865,20.976805099109615,Pharmacy
196,01-783,Bielany,52.2787,20.9753,Park Harcerskiej Poczty Polowej Powstania Warszawskiego,52.279370232806194,20.976790302284176,Park
197,01-783,Bielany,52.2787,20.9753,Przystanek Os. Potok,52.278854331200506,20.977155227184305,Bus Stop
198,01-842,Bielany,52.2771,20.9384,Curry House,52.27779152328913,20.939667907940436,Indian Restaurant
199,01-842,Bielany,52.2771,20.9384,Piwna Sprawa,52.27789066312544,20.938428617845847,Beer Bar
200,01-842,Bielany,52.2771,20.9384,Dom Książki - Księgarnia Oświatowa,52.27774845337431,20.94000736395143,Bookstore
201,01-829,Bielany,52.2799,20.9488,Plac Konfederacji,52.27964584263654,20.94665765762329,Park
202,01-838,Bielany,52.283,20.9526,Czytelnia,52.28270708638767,20.95308109731235,Coffee Shop
203,01-801,Bielany,52.2825,20.9531,Czytelnia,52.28270708638767,20.95308109731235,Coffee Shop
204,01-834,Bielany,52.28,20.9469,Plac Konfederacji,52.27964584263654,20.94665765762329,Park
205,01-834,Bielany,52.28,20.9469,Cafe de la Poste,52.27994279764028,20.945982803046544,Café
206,01-912,Bielany,52.2812,20.9339,Stawy Brustmana,52.282259466458996,20.933552394440348,Lake
207,01-912,Bielany,52.2812,20.9339,Putka,52.28046849316874,20.93517721740442,Bakery
208,01-835,Bielany,52.2762,20.9492,Lukullus,52.2760176457318,20.950287106250922,Bakery
209,01-835,Bielany,52.2762,20.9492,sklep Radek,52.27648188718915,20.949039459228516,Supermarket
210,01-835,Bielany,52.2762,20.9492,ŁĄCZNIKMARTí,52.27504,20.948415,Beach
211,01-885,Bielany,52.2789,20.951,sklep u Pani Halinki,52.27797321215606,20.95184346971834,Farmers Market
212,01-853,Bielany,52.2734,20.9435,Carrefour Express,52.273285667403876,20.94540598735385,Food & Drink Shop
213,01-873,Bielany,52.2713,20.9525,Buenos Nachos,52.270653,20.950657,Mexican Restaurant
214,01-873,Bielany,52.2713,20.9525,Przystanek: Rudnickiego,52.270479361071864,20.951431200495342,Bus Line
215,01-873,Bielany,52.2713,20.9525,Apteka Całodobowa,52.27056655733803,20.951531936089797,Pharmacy
216,01-989,Bielany,52.3078,20.9167,Gniazdo Smaku,52.307863591066784,20.91664711198995,Italian Restaurant
217,01-904,Bielany,52.2751,20.9328,Biedronka,52.27409417267658,20.931434165351153,Grocery Store
218,01-904,Bielany,52.2751,20.9328,Bawialnia,52.27413756137112,20.931374683909475,Playground
219,01-927,Bielany,52.2722,20.9191,Sky Studio,52.273083583656515,20.920120143949298,Gym
220,01-870,Bielany,52.2787,20.9586,"Bar Azjatycki ""Hami""",52.27798478481638,20.95825164645956,Asian Restaurant
221,01-818,Bielany,52.277,20.9538,WDSJ  Studio,52.276019251154146,20.952896069373384,Nightclub
222,01-866,Bielany,52.2796,20.9562,Pizzeria Positano,52.27908834848766,20.955323795348104,Pizza Place
223,01-866,Bielany,52.2796,20.9562,Apteka Syrenka,52.278738773562395,20.956329975438997,Pharmacy
224,01-866,Bielany,52.2796,20.9562,Enigma Room,52.27975942128831,20.95524550888165,Theme Park
225,01-866,Bielany,52.2796,20.9562,Siłownia K2,52.27912857502307,20.95644552615508,Athletics & Sports
226,01-867,Bielany,52.2797,20.9574,Apteka Syrenka,52.278738773562395,20.956329975438997,Pharmacy
227,01-867,Bielany,52.2797,20.9574,Enigma Room,52.27975942128831,20.95524550888165,Theme Park
228,01-867,Bielany,52.2797,20.9574,Siłownia K2,52.27912857502307,20.95644552615508,Athletics & Sports
229,01-862,Bielany,52.2775,20.9549,Panton,52.27810908698607,20.95611894400721,Paper / Office Supplies Store
230,01-806,Bielany,52.2812,20.9544,Tańce Ludowe,52.28188510042128,20.955226762525783,Athletics & Sports
231,01-804,Bielany,52.2824,20.9543,Czytelnia,52.28270708638767,20.95308109731235,Coffee Shop
232,01-804,Bielany,52.2824,20.9543,Tańce Ludowe,52.28188510042128,20.955226762525783,Athletics & Sports
233,01-804,Bielany,52.2824,20.9543,Hala Sportów Walki AWF,52.282239179369434,20.956350367408383,College Stadium
234,01-804,Bielany,52.2824,20.9543,Lotus (kebab i chińczyk),52.28235206748391,20.956400866126327,Fast Food Restaurant
235,01-807,Bielany,52.2797,20.9558,Pizzeria Positano,52.27908834848766,20.955323795348104,Pizza Place
236,01-807,Bielany,52.2797,20.9558,Apteka Syrenka,52.278738773562395,20.956329975438997,Pharmacy
237,01-807,Bielany,52.2797,20.9558,Enigma Room,52.27975942128831,20.95524550888165,Theme Park
238,01-807,Bielany,52.2797,20.9558,Siłownia K2,52.27912857502307,20.95644552615508,Athletics & Sports
239,01-839,Bielany,52.2812,20.9527,Empik,52.28156637259226,20.95097497965927,Bookstore
240,01-991,Bielany,52.304,20.9315,Maleńka i,52.303848550251786,20.930132118590596,Polish Restaurant
241,01-991,Bielany,52.304,20.9315,Gold Sushi,52.303572282036725,20.93006252493515,Asian Restaurant
242,01-991,Bielany,52.304,20.9315,Żabka,52.30327970053444,20.93003644006136,Deli / Bodega
243,01-991,Bielany,52.304,20.9315,AH! Delikatesy,52.30477185281093,20.931114450237622,Deli / Bodega
244,01-939,Bielany,52.2934,20.9001,Guido Meble Kolonialne,52.29306454312749,20.89994923055272,Antique Shop
245,01-913,Bielany,52.2852,20.9341,Biedronka,52.28480443028958,20.935618848371092,Grocery Store
246,01-913,Bielany,52.2852,20.9341,kebab,52.285222,20.934519,Falafel Restaurant
247,01-803,Bielany,52.2819,20.9563,Tańce Ludowe,52.28188510042128,20.955226762525783,Athletics & Sports
248,01-803,Bielany,52.2819,20.9563,Hala Sportów Walki AWF,52.282239179369434,20.956350367408383,College Stadium
249,01-803,Bielany,52.2819,20.9563,Lotus (kebab i chińczyk),52.28235206748391,20.956400866126327,Fast Food Restaurant
250,01-809,Bielany,52.2852,20.9531,Zdrofit Bielany,52.285587715715,20.954363124864457,Gym
251,01-809,Bielany,52.2852,20.9531,plac zabaw przy Twardowskiej,52.285088420770236,20.951693099988585,Playground
252,01-809,Bielany,52.2852,20.9531,Olimpus,52.285698225340525,20.95444132319733,Gym / Fitness Center
253,01-976,Bielany,52.3112,20.9141,Przystanek Młociny,52.31159893075321,20.915160965869504,Bar
254,01-976,Bielany,52.3112,20.9141,Biegówki na Młocinach,52.31190150983984,20.91489840412171,Ski Trail
255,01-914,Bielany,52.2844,20.9362,Biedronka,52.28480443028958,20.935618848371092,Grocery Store
256,01-914,Bielany,52.2844,20.9362,kebab,52.285222,20.934519,Falafel Restaurant
257,01-914,Bielany,52.2844,20.9362,Apteka Wawrzyszewska,52.284110376420024,20.935856739532436,Pharmacy
258,01-815,Bielany,52.2958,20.9605,Podziemie Kamedulskie,52.29602850814155,20.96215109284525,Performing Arts Venue
