,Postcode,Borough,Street,Latitude,Longitude
123,03-156,Białołęka,ul. Bieszczadzka,52.3463,20.9735
124,03-044,Białołęka,ul. Bobrowa,52.3506,21.0332
125,03-279,Białołęka,ul. Bogoriów,52.3015,21.0399
126,03-026,Białołęka,ul. Bohaterów,52.3367,20.989
127,03-007,Białołęka,ul. Bohaterów,52.3418,20.9947
128,03-257,Białołęka,ul. Bohuna,52.3151,21.0414
129,03-034,Białołęka,ul. Borecka,52.3279,21.0104
130,03-102,Białołęka,ul. Bramka,52.3299,20.9605
131,03-090,Białołęka,ul. Braniewska,52.359,20.9904
132,03-046,Białołęka,ul. Bruszewska,52.3241,21.0177
133,03-256,Białołęka,ul. Brzeziny,52.331,21.0409
134,03-075,Białołęka,ul. Brzezińska,52.3559,20.9769
135,03-082,Białołęka,ul. Brzozowy Zagajnik,52.3495,20.9823
136,03-135,Białołęka,ul. Ceglana,52.3353,20.9582
137,03-029,Białołęka,ul. Celtów,52.332,20.9918
138,03-127,Białołęka,ul. Ch. Botewa,52.3195,20.9558
139,03-136,Białołęka,ul. Chęcińska,52.3342,20.9572
140,03-061,Białołęka,ul. Chlebowa,52.355,20.9704
141,03-051,Białołęka,ul. Chlubna,52.3585,20.9623
142,03-037,Białołęka,ul. Cichy Zakątek,52.3396,21.0204
143,03-107,Białołęka,ul. Ciechanowska,52.3541,20.9369
144,03-017,Białołęka,ul. Cieślewskich,52.3321,21.0216
145,03-016,Białołęka,ul. Ciupagi,52.3354,21.0063
146,03-035,Białołęka,ul. Cudne Manowce,52.3435,21.0205
147,03-012,Białołęka,ul. Cytadeli,52.3429,20.998
148,03-043,Białołęka,ul. Cytrusowa,52.3618,21.0423
149,03-054,Białołęka,ul. Czajki,52.361,20.9507
150,03-110,Białołęka,ul. Czarnocińska,52.3283,20.9701
151,03-116,Białołęka,ul. Czarodzieja,52.3335,20.9655
152,03-159,Białołęka,ul. Czeremchowa,52.3425,20.961
153,03-028,Białołęka,ul. Czołowa,52.3339,20.9908
154,03-230,Białołęka,ul. Daniszewska,52.3108,21.0185
155,03-259,Białołęka,ul. Danusi,52.3129,21.0298
156,03-196,Białołęka,ul. Delfina,52.2989,20.9832
157,03-142,Białołęka,ul. Dionizosa,52.3348,20.9525
158,03-255,Białołęka,ul. Dobka z Oleśnicy,52.3227,21.0442
159,03-108,Białołęka,ul. Dołowa,52.3271,20.9647
160,03-195,Białołęka,ul. Dorodna,52.3034,20.9837
161,03-109,Białołęka,ul. Drogowa,52.3299,20.9714
162,03-112,Białołęka,ul. Drożdżowa,52.3292,20.9734
163,03-138,Białołęka,ul. Dróżka,52.3318,20.9454
164,03-190,Białołęka,ul. Druciana,52.3096,20.9854
165,03-182,Białołęka,ul. Duninów,52.3194,20.9756
166,03-071,Białołęka,ul. Dwusieczna,52.353,20.9786
167,03-011,Białołęka,ul. Dylewska,52.345,21.0089
168,03-008,Białołęka,ul. Dynamiczna,52.3406,20.998
169,03-147,Białołęka,ul. Dzikiej Kaczki,52.3404,20.9457
170,03-188,Białołęka,ul. E. Wittiga,52.3151,20.9651
171,03-183,Białołęka,ul. Ekspresowa,52.3139,20.98
172,03-219,Białołęka,ul. Elektronowa,52.295,21.0033
173,03-185,Białołęka,ul. Erazma z Zakroczymia,52.3129,20.9658
174,03-187,Białołęka,ul. F. Pancera,52.3197,20.9454
175,03-197,Białołęka,ul. Familijna,52.3056,20.981
176,03-160,Białołęka,ul. Fletniowa,52.3425,20.9779
177,03-166,Białołęka,ul. Fortel,52.3282,20.9798
178,03-133,Białołęka,ul. gen. M. Štefánika,52.323,20.9407
179,03-290,Białołęka,ul. Geodezyjna,52.3183,21.0738
180,03-113,Białołęka,ul. Gerberowa,52.3496,20.9329
181,03-287,Białołęka,ul. Głębocka,52.3248,21.0666
182,03-194,Białołęka,ul. Gołdapska,52.3006,20.9845
183,03-154,Białołęka,ul. Grudowska,52.3464,20.9698
184,03-266,Białołęka,ul. Gryfitów,52.3042,21.0349
185,03-141,Białołęka,ul. Grzymalitów,52.3371,20.9385
186,03-139,Białołęka,ul. H. Ordonówny,52.3323,20.9508
187,03-079,Białołęka,ul. Henrykowska,52.3559,20.9812
188,03-192,Białołęka,ul. Huczna,52.3074,20.9873
189,03-237,Białołęka,ul. Inowłodzka,52.2993,21.0182
190,03-004,Białołęka,ul. Insurekcji,52.3485,20.9938
191,03-002,Białołęka,ul. J. Kukuczki,52.3508,21.0228
192,03-158,Białołęka,ul. J. Mehoffera,52.344,20.9731
193,03-081,Białołęka,ul. J. Mehoffera,52.3533,20.9895
194,03-131,Białołęka,ul. J. Mehoffera,52.3292,20.9541
195,03-118,Białołęka,ul. J. Mehoffera,52.3364,20.9636
196,03-117,Białołęka,ul. J. Żiżki,52.3363,20.9634
197,03-033,Białołęka,ul. Jeżowa,52.3257,21.0066
198,03-161,Białołęka,ul. K. Kiersnowskiego,52.3425,20.9768
199,03-181,Białołęka,ul. K. Pułaskiego,52.323,20.9815
200,03-180,Białołęka,ul. K. Szałasa,52.3208,20.975
201,03-125,Białołęka,ul. Kaflowa,52.3247,20.9604
202,03-105,Białołęka,ul. Kalendarzowa,52.3273,20.9658
203,03-162,Białołęka,ul. Karnicka,52.3398,20.9802
204,03-001,Białołęka,ul. Kazuńska,52.3431,20.9862
205,03-059,Białołęka,ul. Kibiców,52.3571,20.9652
206,03-115,Białołęka,ul. Klasyków,52.3335,20.9702
207,03-163,Białołęka,ul. Klasyków,52.3335,20.9824
208,03-050,Białołęka,ul. Kłosowa,52.3576,20.9752
209,03-179,Białołęka,ul. Kobierzycka,52.3218,20.98
210,03-171,Białołęka,ul. Kołacińska,52.3231,20.9772
211,00-716,Białołęka,ul. Konwaliowa,52.2131,21.0639
212,03-274,Białołęka,ul. Kopijników,52.3033,21.0419
213,03-114,Białołęka,ul. Krokwi,52.3313,20.975
214,03-272,Białołęka,ul. Kuszników,52.3032,21.037
215,03-030,Białołęka,ul. Lemiesz,52.3293,20.995
216,03-299,Białołęka,ul. Lewandów,52.3227,21.0744
217,03-085,Białołęka,ul. Lidzbarska,52.3553,20.9872
218,03-055,Białołęka,ul. Lubczyka,52.3538,20.9675
219,03-063,Białołęka,ul. Ławnicza,52.356,20.9707
220,03-089,Białołęka,ul. Łazanowicka,52.3588,20.9898
221,03-233,Białołęka,ul. M. Faradaya,52.3073,21.0151
222,03-178,Białołęka,ul. M. Kątskiego,52.3202,20.9847
223,03-146,Białołęka,ul. M. Trąby,52.3438,20.9411
224,03-020,Białołęka,ul. Majorki,52.3372,20.9984
225,03-174,Białołęka,ul. Marcelińska,52.3156,20.9888
226,03-145,Białołęka,ul. Marcina z Wrocimowic,52.3432,20.9381
227,03-053,Białołęka,ul. Marmurowa,52.3633,20.9476
228,03-228,Białołęka,ul. Marywilska,52.3051,21.0101
229,03-042,Białołęka,ul. Marywilska,52.3189,20.9997
230,03-015,Białołęka,ul. Mazurska,52.3393,21.0002
231,03-041,Białołęka,ul. Miętowa,52.3164,20.9986
232,03-260,Białołęka,ul. Mikołaja z Długolasu,52.318,21.0255
233,03-216,Białołęka,ul. Modlińska,52.2935,21.0005
234,03-186,Białołęka,ul. Modlińska,52.3155,20.9747
235,03-170,Białołęka,ul. Modlińska,52.3169,20.976
236,03-199,Białołęka,ul. Modlińska,52.3078,20.9819
237,03-119,Białołęka,ul. Modlińska,52.329,20.9675
238,03-122,Białołęka,ul. Modlińska,52.3225,20.9698
239,03-120,Białołęka,ul. Modlińska,52.3288,20.9662
240,03-152,Białołęka,ul. Modlińska,52.3455,20.9522
241,03-151,Białołęka,ul. Modlińska,52.3449,20.9498
242,03-198,Białołęka,ul. Modlińska,52.3051,20.9947
243,03-019,Białołęka,ul. Morwowa,52.3306,21.0025
244,03-092,Białołęka,ul. Na Przełaj,52.3586,20.9857
245,03-137,Białołęka,ul. Oczary,52.3315,20.9492
246,03-140,Białołęka,ul. Odkryta,52.333,20.9365
247,03-231,Białołęka,ul. Odlewnicza,52.3047,21.0138
248,03-264,Białołęka,ul. Ojca Aniceta,52.3055,21.0381
249,03-104,Białołęka,ul. Okienko,52.3314,20.9628
250,03-036,Białołęka,ul. Operowa,52.3327,21.0011
251,03-018,Białołęka,ul. Ornecka,52.3436,21.013
252,03-143,Białołęka,ul. Osuchowska,52.3327,20.9566
253,03-262,Białołęka,ul. P. Włodkowica,52.308,21.035
254,03-155,Białołęka,ul. Parcelacyjna,52.3475,20.9739
255,03-238,Białołęka,ul. Pisankowa,52.2973,21.019
256,03-074,Białołęka,ul. Piwoniowa,52.3553,20.9749
257,03-191,Białołęka,ul. Płochocińska,52.3119,20.9906
258,03-184,Białołęka,ul. Płużnicka,52.3122,20.9747
259,03-157,Białołęka,ul. Podgórna,52.3422,20.9756
260,03-111,Białołęka,ul. Podróżnicza,52.3285,20.9759
261,03-165,Białołęka,ul. Podróżnicza,52.3297,20.9795
262,03-003,Białołęka,ul. Polnych Kwiatów,52.3421,20.9843
263,03-069,Białołęka,ul. Polnych Kwiatów,52.3493,20.9801
264,03-101,Białołęka,ul. Pomorska,52.3291,20.9613
265,03-103,Białołęka,ul. Przemian,52.3305,20.961
266,03-022,Białołęka,ul. Przeździecka,52.3386,20.9913
267,03-083,Białołęka,ul. Przytulna,52.3559,20.9843
268,03-021,Białołęka,ul. Sadkowska,52.3383,20.9959
269,03-168,Białołęka,ul. Sąsiedzka,52.3236,20.9756
270,03-025,Białołęka,ul. Sianokosów,52.338,20.985
271,03-032,Białołęka,ul. Smugowa,52.3252,21.0057
272,03-167,Białołęka,ul. Szałwiowa,52.325,20.9839
273,03-077,Białołęka,ul. Szamotulska,52.3549,20.9803
274,03-164,Białołęka,ul. Szynowa,52.3308,20.9861
275,03-088,Białołęka,ul. Ślepa,52.3583,20.9911
276,03-128,Białołęka,ul. Świderska,52.3181,20.9467
277,03-265,Białołęka,ul. Toporczyków,52.3047,21.0339
278,03-226,Białołęka,ul. Toruńska,52.298,21.0312
279,03-093,Białołęka,ul. Wadowicka,52.359,20.9825
280,03-024,Białołęka,ul. Wałuszewska,52.3377,20.9859
281,03-005,Białołęka,ul. Wałuszewska,52.3404,20.9885
282,03-064,Białołęka,ul. Wąska,52.3557,20.9707
283,03-244,Białołęka,ul. Wenecka,52.2977,21.0197
284,03-172,Białołęka,ul. Weteranów,52.3226,20.9831
285,03-087,Białołęka,ul. Widna,52.357,20.9886
286,03-062,Białołęka,ul. Wieliszewska,52.356,20.9696
287,03-031,Białołęka,ul. Wyspiarska,52.3181,20.9968
288,03-076,Białołęka,ul. Zagrodecka,52.3569,20.9785
289,03-068,Białołęka,ul. Zawiślańska,52.3538,20.9735
290,01-783,Bielany,al. Armii Krajowej,52.2787,20.9753
291,01-695,Bielany,al. Słowiańska,52.2767,20.9658
292,01-840,Bielany,al. W. Reymonta,52.2767,20.9371
293,01-842,Bielany,al. W. Reymonta,52.2771,20.9384
294,01-829,Bielany,al. Zjednoczenia,52.2799,20.9488
295,01-838,Bielany,al. Zjednoczenia,52.283,20.9526
296,01-830,Bielany,al. Zjednoczenia,52.2801,20.9499
297,01-801,Bielany,al. Zjednoczenia,52.2825,20.9531
298,01-834,Bielany,pl. Konfederacji,52.28,20.9469
299,01-685,Bielany,ul. A. Bohdziewicza,52.2814,20.969
300,01-912,Bielany,ul. A. Czechowa,52.2812,20.9339
301,01-835,Bielany,ul. A. Fontany,52.2762,20.9492
302,01-885,Bielany,ul. A. Fontany,52.2789,20.951
303,01-853,Bielany,ul. A. Jarzębskiego,52.2734,20.9435
304,01-873,Bielany,ul. A. Magiera,52.2713,20.9525
305,01-856,Bielany,ul. A. Magiera,52.2726,20.9482
306,01-944,Bielany,ul. A. Parola,52.2924,20.9341
307,01-972,Bielany,ul. Abecadło,52.3089,20.9329
308,01-937,Bielany,ul. Akcent,52.2953,20.8827
309,01-989,Bielany,ul. Anny Jagiellonki,52.3078,20.9167
310,01-962,Bielany,ul. Antyczna,52.2887,20.9376
311,00-000,Bielany,ul. Arkuszowa,51.2053027192213,22.5862340735921
312,01-981,Bielany,ul. Arrasowa,52.3104,20.9224
313,01-904,Bielany,ul. Aspekt,52.2751,20.9328
314,01-927,Bielany,ul. B. Głowackiego,52.2722,20.9191
315,01-870,Bielany,ul. B. Leśmiana,52.2787,20.9586
316,01-818,Bielany,ul. B. Podczaszyńskiego,52.277,20.9538
317,01-866,Bielany,ul. B. Podczaszyńskiego,52.2796,20.9562
318,01-867,Bielany,ul. B. Podczaszyńskiego,52.2797,20.9574
319,01-862,Bielany,ul. B. Podczaszyńskiego,52.2775,20.9549
320,01-682,Bielany,ul. B. Schulza,52.2839,20.9699
321,01-806,Bielany,ul. B. Zuga,52.2812,20.9544
322,01-811,Bielany,ul. B. Zuga,52.2838,20.951
323,01-804,Bielany,ul. Babicka,52.2824,20.9543
324,01-807,Bielany,ul. Barcicka,52.2797,20.9558
325,01-839,Bielany,ul. Barcicka,52.2812,20.9527
326,01-991,Bielany,ul. Biograficzna,52.304,20.9315
327,01-929,Bielany,ul. Brązownicza,52.2724,20.9229
328,01-697,Bielany,ul. Brochowska,52.2787,20.9648
329,01-939,Bielany,ul. Burleska,52.2934,20.9001
330,01-913,Bielany,ul. C. Goldoniego,52.2852,20.9341
331,01-803,Bielany,ul. Cegłowska,52.2819,20.9563
332,01-809,Bielany,ul. Cegłowska,52.2852,20.9531
333,01-910,Bielany,ul. Cienka,52.2851,20.9178
334,01-678,Bielany,ul. Cząstkowska,52.2813,20.9679
335,01-976,Bielany,ul. Czyżyka,52.3112,20.9141
336,01-983,Bielany,ul. Daglezji,52.3101,20.9207
337,01-987,Bielany,ul. Dankowicka,52.309,20.9152
338,01-914,Bielany,ul. Dantego,52.2844,20.9362
339,01-815,Bielany,ul. Dewajtis,52.2958,20.9605
340,01-947,Bielany,ul. Dorycka,52.2967,20.9395
341,01-964,Bielany,ul. Dorycka,52.2965,20.9399
342,01-985,Bielany,ul. Dzierżoniowska,52.3085,20.9233
343,01-935,Bielany,ul. Dziewierza,52.2976,20.8812
344,01-970,Bielany,ul. Dziwożony,52.3225,20.9175
345,01-822,Bielany,ul. E. Schroegera,52.2784,20.9519
346,01-828,Bielany,ul. E. Schroegera,52.2803,20.9445
347,01-845,Bielany,ul. E. Schroegera,52.281,20.9419
348,01-684,Bielany,ul. E. Stachury,52.2828,20.9717
349,01-990,Bielany,ul. Encyklopedyczna,52.3042,20.9285
350,01-923,Bielany,ul. Esej,52.2785,20.917
351,01-932,Bielany,ul. Estrady,52.2996,20.8814
352,01-971,Bielany,ul. Farysa,52.3064,20.9375
353,01-905,Bielany,ul. Fortowa,52.2757,20.9352
354,01-833,Bielany,ul. G. Daniłowskiego,52.2773,20.946
355,01-703,Bielany,ul. Gąbińska,52.2716,20.9599
356,01-691,Bielany,ul. Gdańska,52.2787,20.9678
357,01-633,Bielany,ul. Gdańska,52.2767,20.97
358,01-808,Bielany,ul. Grębałowska,52.2839,20.9524
359,01-651,Bielany,ul. Gwiaździsta,52.2823,20.9825
360,01-680,Bielany,ul. Gwiaździsta,52.288,20.9811
361,01-917,Bielany,ul. H. Balzaka,52.2817,20.9305
362,01-911,Bielany,ul. H. Ch. Andersena,52.2802,20.9363
363,01-893,Bielany,ul. H. Ch. Andersena,52.283,20.9384
364,01-821,Bielany,ul. Hajoty,52.278,20.953
365,01-938,Bielany,ul. Herbowa,52.3035,20.9078
366,01-988,Bielany,ul. Humanistów,52.3071,20.9202
367,01-992,Bielany,ul. Improwizacji,52.3025,20.9271
368,01-922,Bielany,ul. J. Conrada,52.2745,20.9261
369,01-823,Bielany,ul. J. Kasprowicza,52.2835,20.9448
370,02-823,Bielany,ul. J. Kasprowicza,52.1641,20.9908
371,01-949,Bielany,ul. J. Kasprowicza,52.2889,20.9341
372,01-871,Bielany,ul. J. Kasprowicza,52.2809,20.9521
373,01-859,Bielany,ul. J. Kasprowicza,52.2778,20.957
374,01-817,Bielany,ul. J. Kasprowicza,52.2794,20.9538
375,01-836,Bielany,ul. J. Kasprowicza,52.2819,20.9483
376,01-864,Bielany,ul. J. Kochanowskiego,52.2677,20.9473
377,01-699,Bielany,ul. J. Parandowskiego,52.2819,20.9648
378,01-690,Bielany,ul. J. Słowackiego,52.2733,20.9686
379,01-975,Bielany,ul. Jamki,52.311,20.9134
380,01-843,Bielany,ul. K. Grodeckiego,52.283,20.9426
381,01-860,Bielany,ul. K. Makuszyńskiego,52.2767,20.9571
382,01-687,Bielany,ul. K. Wierzyńskiego,52.2807,20.9672
383,01-942,Bielany,ul. Kabaretowa,52.2957,20.9092
384,01-810,Bielany,ul. Karska,52.2842,20.9513
385,01-694,Bielany,ul. Kaskadowa,52.2761,20.9696
386,01-707,Bielany,ul. Kiełpińska,52.2724,20.9622
387,01-851,Bielany,ul. Kleczewska,52.2763,20.943
388,01-826,Bielany,ul. Kleczewska,52.2808,20.9452
389,01-692,Bielany,ul. Kolektorska,52.2775,20.9671
390,01-805,Bielany,ul. Krotoszyńska,52.2808,20.956
391,01-986,Bielany,ul. Królowej Jadwigi,52.3078,20.9201
392,01-926,Bielany,ul. Kwitnąca,52.2759,20.922
393,01-858,Bielany,ul. L. Rudnickiego,52.2662,20.9464
394,01-850,Bielany,ul. L. Rydla,52.2754,20.9439
395,01-884,Bielany,ul. L. Staffa,52.2747,20.9525
396,01-891,Bielany,ul. L. Staffa,52.2738,20.9602
397,01-820,Bielany,ul. Lisowska,52.2784,20.9516
398,01-903,Bielany,ul. M. Dąbrowskiej,52.2735,20.9317
399,01-689,Bielany,ul. M. Hłaski,52.2783,20.9707
400,01-863,Bielany,ul. M. Pawlikowskiej-Jasnorzewskiej,52.2774,20.9563
401,01-670,Bielany,ul. Marii Kazimiery,52.2873,20.9749
402,01-994,Bielany,ul. Marii Ludwiki Gonzagi,52.3096,20.922
403,01-869,Bielany,ul. Marymoncka,52.2776,20.9624
404,01-813,Bielany,ul. Marymoncka,52.2848,20.9567
405,01-946,Bielany,ul. Marymoncka,52.2949,20.9444
406,01-868,Bielany,ul. Marymoncka,52.2795,20.9592
407,01-977,Bielany,ul. Marymoncka,52.2988,20.9425
408,01-802,Bielany,ul. Marymoncka,52.2822,20.9569
409,01-925,Bielany,ul. Maszewska,52.2752,20.9135
410,01-968,Bielany,ul. Muzealna,52.3069,20.9347
411,01-702,Bielany,ul. Ogólna,52.2715,20.9626
412,01-696,Bielany,ul. Opatowska,52.2784,20.9647
413,01-940,Bielany,ul. Opłotek,52.2959,20.9004
414,01-928,Bielany,ul. Osikowa,52.2732,20.9201
415,01-993,Bielany,ul. Ostaszewska,52.3064,20.9263
416,01-973,Bielany,ul. Papirusów,52.3094,20.9303
417,01-683,Bielany,ul. Pelplińska,52.2817,20.9702
418,01-688,Bielany,ul. Pęcicka,52.2797,20.9694
419,01-852,Bielany,ul. Płatnicza,52.2765,20.9445
420,01-827,Bielany,ul. Płatnicza,52.2812,20.9471
421,01-832,Bielany,ul. Płatnicza,52.2787,20.9453
422,01-875,Bielany,ul. płk. M. Niedzielskiego „Żywiciela”,52.2686,20.9386
423,01-673,Bielany,ul. Podleśna,52.2843,20.9676
424,01-921,Bielany,ul. Popiela,52.2841,20.9174
425,01-966,Bielany,ul. Prozy,52.306,20.9412
426,01-960,Bielany,ul. Przy Agorze,52.293,20.9403
427,01-930,Bielany,ul. Przy Agorze,52.2907,20.9358
428,01-969,Bielany,ul. Pułkowa,52.3056,20.9345
429,01-681,Bielany,ul. Raduńska,52.281,20.9717
430,01-924,Bielany,ul. Rodziny Połanieckich,52.2765,20.9135
431,01-954,Bielany,ul. S. B. Lindego,52.2889,20.9466
432,01-953,Bielany,ul. S. B. Lindego,52.2887,20.9445
433,01-952,Bielany,ul. S. B. Lindego,52.2874,20.9429
